id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_dashboard_widget_view,access_is_dashboard_widget_user,model_is_dashboard_widget,base.group_user,1,0,0,0
access_dashboard_widget_user,access_is_dashboard_widget_user,model_is_dashboard_widget,dashboard_widgets.group_dashboard_editor_user,1,1,1,0
access_dashboard_widget_manager,access_is_dashboard_widget_manager,model_is_dashboard_widget,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1
access_dashboard_widget_security_rule_view,access_is_dashboard_widget_security_rule_user,model_is_dashboard_widget_group_security,base.group_user,1,0,0,0
access_dashboard_widget_security_rule_user,access_is_dashboard_widget_security_rule_user,model_is_dashboard_widget_group_security,dashboard_widgets.group_dashboard_editor_user,1,1,1,1
access_dashboard_widget_goal_view,access_is_dashboard_widget_user,model_is_dashboard_widget_goal,base.group_user,1,0,0,0
access_dashboard_widget_goal_user,access_is_dashboard_widget_user,model_is_dashboard_widget_goal,dashboard_widgets.group_dashboard_editor_user,1,1,1,0
access_dashboard_widget_goal_manager,access_is_dashboard_widget_manager,model_is_dashboard_widget_goal,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1
access_dashboard_widget_tag_view,access_is_dashboard_widget_tag_user,model_is_dashboard_widget_tag,base.group_user,1,0,0,0
access_dashboard_widget_tag_user,access_is_dashboard_widget_tag_user,model_is_dashboard_widget_tag,dashboard_widgets.group_dashboard_editor_user,1,1,1,0
access_dashboard_widget_tag_manager,access_is_dashboard_widget_tag_manager,model_is_dashboard_widget_tag,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1
access_dashboard_widget_record_list_column_view,access_is_dashboard_widget_record_list_column_user,model_is_dashboard_widget_record_list_column,base.group_user,1,0,0,0
access_dashboard_widget_record_list_column_user,access_is_dashboard_widget_record_list_column_user,model_is_dashboard_widget_record_list_column,dashboard_widgets.group_dashboard_editor_user,1,1,1,0
access_dashboard_widget_record_list_column_manager,access_is_dashboard_widget_record_list_column_manager,model_is_dashboard_widget_record_list_column,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1

access_dashboard_widget_auto_view_column_view,access_is_dashboard_widget_auto_view_column_user,model_is_dashboard_widget_auto_view_column,base.group_user,1,0,0,0
access_dashboard_widget_auto_view_column_user,access_is_dashboard_widget_auto_view_column_user,model_is_dashboard_widget_auto_view_column,dashboard_widgets.group_dashboard_editor_user,1,1,1,0
access_dashboard_widget_auto_view_column_manager,access_is_dashboard_widget_auto_view_column_manager,model_is_dashboard_widget_auto_view_column,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1

access_dashboard_widget_email_manger,access_is_dashboard_widget_email_manager,model_is_dashboard_email,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1
access_dashboard_data,access_is_dashboard_data,model_is_dashboard_data,base.group_user,1,0,0,0
access_dashboard_view,access_is_dashboard_user,model_is_dashboard,base.group_user,1,0,0,0
access_dashboard_user_data,access_is_dashboard_user_data,model_is_dashboard_user_data,base.group_user,1,0,0,0
access_dashboard_user,access_is_dashboard_user,model_is_dashboard,dashboard_widgets.group_dashboard_editor_user,1,1,1,0
access_dashboard_manager,access_is_dashboard_manager,model_is_dashboard,dashboard_widgets.group_dashboard_editor_manager,1,1,1,1
access_dashboard_widget_position_view,access_is_dashboard_widget_position_view,model_is_dashboard_widget_position,base.group_user,1,0,0,0
access_dashboard_widget_position_user,access_is_dashboard_widget_position_user,model_is_dashboard_widget_position,dashboard_widgets.group_dashboard_editor_user,1,1,1,1

access_dashboard_widget_template_category_view,access_is_dashboard_template_category_view,model_is_dashboard_template_category,base.group_user,1,0,0,0
access_dashboard_widget_template_category_user,access_is_dashboard_template_category_user,model_is_dashboard_template_category,dashboard_widgets.group_dashboard_editor_user,1,0,0,0
access_dashboard_widget_type_user,access_is_dashboard_type_user,model_is_dashboard_widget_type,dashboard_widgets.group_dashboard_editor_user,1,0,0,0

access_dashboard_widget_wizard_create_user,access_dashboard_widget_wizard_create_user,model_is_dashboard_widget_wizard_create,base.group_user,1,1,1,0

access_dashboard_parameter_base_user,access_dashboard_parameter_base_user,model_is_dashboard_parameter,base.group_user,1,0,0,0
access_dashboard_parameter_user,access_is_dashboard_parameter_user,model_is_dashboard_parameter,dashboard_widgets.group_dashboard_editor_user,1,1,1,1
access_dashboard_parameter_manager,access_is_dashboard_parameter_user,model_is_dashboard_parameter,dashboard_widgets.group_dashboard_editor_user,1,1,1,1
